#{"t_start": 1672758446.629091, "env_id": null}
r,l,t
-0.38999978,200,284.054378
-0.7249995,200,284.320935
-0.33999982,200,285.603037
0.985,11,285.617481
-0.5849996,200,285.990204
0.945,25,286.021873
-0.43999973,200,286.271214
-0.56499964,200,286.524421
-0.41999975,200,286.774441
0.875,64,286.855306
0.975,32,286.897661
-0.5149997,200,287.148225
0.99,4,287.15395
-0.76999944,200,287.526677
0.94,30,287.565007
-0.6249996,200,287.813231
-0.48999968,200,288.065759
0.98,19,288.090141
-0.67499954,200,288.341166
-0.31999984,200,289.738129
-0.6099996,200,290.002267
-0.2699999,200,290.25212
-0.5249997,200,290.503498
1.0,2,290.506585
-0.65999955,200,290.774644
-0.4849997,200,291.095028
-0.48999968,200,291.512931
-0.8049994,200,291.903054
-0.7899994,200,292.238486
-0.4849997,200,292.559784
1.0,4,292.566544
-0.4849997,200,294.241105
0.96500003,22,294.272312
-0.38499978,200,294.713995
-0.7399995,200,294.976055
-0.2699999,200,295.243037
-0.5049997,200,295.495517
-0.30999985,200,295.746931
-0.67999953,200,296.117981
-0.29999986,200,296.366866
-0.87499934,200,296.617713
0.83000004,49,296.678782
-0.45499972,200,296.928495
1.0,6,296.936678
-0.3699998,200,298.21245
0.99,3,298.216896
0.93,49,298.398719
-0.6199996,200,298.650042
0.98,5,298.656965
-0.86499935,200,298.906433
-0.145,200,299.163593
-0.76499945,200,299.412743
-0.6049996,200,299.784925
-0.56499964,200,300.039181
-0.14999999,200,300.288996
-0.3549998,200,300.541515
-0.3749998,200,300.791178
-0.40999976,200,302.07319
-0.6849995,200,302.442885
-0.32499984,200,302.694868
0.945,16,302.715466
-0.3649998,200,302.966232
0.99,12,302.98193
-0.7249995,200,303.231425
-0.7049995,200,303.599203
-0.6849995,200,303.905033
1.0,21,303.934424
-0.34999982,200,304.234645
1.0,1,304.236642
-0.6349996,200,304.512507
-0.76499945,200,304.767764
0.995,3,304.772238
-0.4799997,200,306.343832
1.0,1,306.348212
-0.5999996,200,306.658649
-0.3699998,200,307.087357
-0.55499965,200,307.416514
-0.2549999,200,307.874715
0.945,28,307.92565
-0.8949993,200,308.364381
0.80500007,196,308.673239
-0.33999982,200,308.934625
-0.6849995,200,309.25589
-0.7149995,200,309.516675
0.95,11,309.532082
0.41500038,199,310.831327
1.0,2,310.835243
0.87,63,311.055902
-0.7199995,200,311.327156
-0.41999975,200,311.599158
-0.4749997,200,311.867057
0.6650002,100,311.99301
-0.65499955,200,312.243806
0.985,10,312.257119
0.6950002,109,312.51474
-0.48999968,200,312.766252
-0.5199997,200,313.017782
